2025-07-20 16:23:25,976 [INFO] fetch_kline.py:81 筛选得到 2087 只股票
2025-07-20 16:23:25,977 [INFO] fetch_kline.py:335 开始抓取 2087 支股票 | 数据源:akshare | 频率:day | 日期:20190101 → 20250720
2025-07-20 16:23:53,779 [WARNING] fetch_kline.py:162 AKShare 拉取 002314 失败(2/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-20 16:23:53,931 [WARNING] fetch_kline.py:162 AKShare 拉取 002311 失败(2/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-20 16:23:54,155 [WARNING] fetch_kline.py:162 AKShare 拉取 002317 失败(2/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-20 16:23:54,195 [WARNING] fetch_kline.py:162 AKShare 拉取 002315 失败(2/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-20 16:23:54,255 [WARNING] fetch_kline.py:162 AKShare 拉取 002310 失败(2/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-20 16:23:54,329 [WARNING] fetch_kline.py:162 AKShare 拉取 002320 失败(2/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-20 16:23:54,488 [WARNING] fetch_kline.py:162 AKShare 拉取 002327 失败(1/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-20 16:23:54,637 [WARNING] fetch_kline.py:162 AKShare 拉取 002321 失败(2/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-20 16:23:54,657 [WARNING] fetch_kline.py:162 AKShare 拉取 002312 失败(2/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-20 16:23:54,696 [WARNING] fetch_kline.py:162 AKShare 拉取 002302 失败(3/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-20 16:23:55,011 [WARNING] fetch_kline.py:162 AKShare 拉取 002318 失败(2/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-20 16:23:55,285 [WARNING] fetch_kline.py:162 AKShare 拉取 002326 失败(2/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-20 16:23:55,538 [WARNING] fetch_kline.py:162 AKShare 拉取 002324 失败(2/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-20 16:23:55,588 [WARNING] fetch_kline.py:162 AKShare 拉取 002332 失败(1/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-20 16:23:55,724 [WARNING] fetch_kline.py:162 AKShare 拉取 002334 失败(1/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-20 16:23:55,732 [WARNING] fetch_kline.py:162 AKShare 拉取 002303 失败(3/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-20 16:23:55,893 [WARNING] fetch_kline.py:162 AKShare 拉取 002335 失败(1/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-20 16:23:55,893 [WARNING] fetch_kline.py:162 AKShare 拉取 002314 失败(3/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-20 16:23:56,250 [WARNING] fetch_kline.py:162 AKShare 拉取 002309 失败(3/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
